9500,140.6750,52.2849
9600,136.0526,51.1113
9700,138.8115,48.4053
9800,137.2807,52.8526
9900,128.3248,47.4709
10000,132.2464,46.8341
10100,143.3996,45.1366
10200,137.8474,40.7361
10300,145.1574,42.1784
10400,149.2898,47.9522
10500,145.8544,44.2136
10600,142.9956,49.0959
10700,153.8322,42.1050
10800,146.8992,54.5978
10900,138.3172,51.5224
11000,140.3672,48.0822
11100,132.4965,55.6791
11200,135.8920,57.0923
11300,122.9143,55.3952
11400,140.8403,59.4736
11500,135.8610,55.3688
11600,142.5801,58.1247
11700,147.9420,57.4712
11800,144.8352,51.6158
11900,149.0141,61.9392
12000,143.9107,66.5078
12100,132.5790,55.3930
12200,137.3138,55.0191
12300,132.4366,60.4053
12400,140.7878,59.3929
12500,144.7681,57.1009
12600,140.1202,55.9616
12700,137.3901,60.6701
12800,153.0591,52.4655
12900,151.6194,53.9345
13000,142.7831,59.1266
13100,144.6357,58.5661
13200,146.1766,58.5019
13300,135.0356,43.9517
13400,143.1992,55.2905
13500,151.3383,53.2608
13600,142.4616,52.2462
13700,142.5367,54.8681
13800,144.1234,52.8474
13900,147.2872,51.4593
14000,140.2843,57.1646
14100,136.6421,45.2971
14200,146.1551,50.5673
14300,142.1308,58.1944
14400,147.7763,51.4690
14500,142.8782,44.4392
14600,150.2346,50.9797
14700,146.7800,56.0294
14800,141.0652,40.1842
14900,141.6366,47.2133
15000,150.8879,51.6310
15100,139.4388,53.6552
15200,139.6469,51.0904
15300,136.4733,43.4886
15400,145.0041,49.7417
15500,152.0010,52.9020
15600,137.9372,51.2666
15700,149.1322,54.3622
15800,149.3105,60.5553
15900,162.5919,55.0393
16000,147.5480,61.5101
16100,162.3444,51.3030
16200,161.3899,54.7489
16300,152.7339,56.8598
16400,147.0900,65.2911
16500,159.6882,49.6298
16600,149.6432,51.7219
16700,148.3597,53.1834
16800,145.2753,52.0992
16900,155.7997,51.5963
17000,159.1245,44.0242
17100,159.4493,55.3948
17200,150.2068,47.5139
17300,157.8539,46.7467
17400,163.6894,54.2912
17500,143.7793,56.2154
17600,154.3665,49.0855
17700,158.2357,55.3171
17800,155.7900,44.6341
17900,163.5294,52.3844
18000,152.8588,47.0431
18100,156.7870,43.8448
18200,152.3504,55.8970
18300,164.4413,54.5488
18400,157.4173,54.9063
18500,161.2316,50.7322
18600,162.0891,43.8751
18700,170.8271,46.0241
18800,152.3927,48.6300
18900,150.0908,49.3368
19000,159.3175,41.4876
19100,162.8223,46.6611
19200,164.6075,48.6873
19300,161.0830,53.8598
19400,157.4059,51.7131
19500,152.8479,52.2010
19600,167.1621,53.0661
19700,163.0856,48.2675
19800,154.9749,46.6218
19900,162.5197,47.5640
20000,172.0746,47.0865
20100,154.0202,52.9598
20200,146.8242,50.2120
20300,161.0444,52.7384
20400,158.7906,49.1228
20500,165.5648,46.2065
20600,158.4884,57.0499
20700,163.1988,51.0916
20800,153.0157,53.8531
20900,163.8597,48.0260
21000,167.6916,55.8062
21100,161.4244,53.3905
21200,158.8104,52.6333
21300,162.4603,53.6130
21400,158.4397,55.8664
21500,162.1343,54.2580
21600,160.8050,54.6354
21700,153.9430,63.3728
21800,158.5626,57.6221
21900,159.3983,59.2718
22000,148.3965,54.5706
22100,165.5696,62.9199
22200,163.0694,52.7620
22300,153.0880,52.8217
22400,153.1276,59.7467
22500,155.4019,63.6690
22600,156.0139,59.5358
22700,166.8172,55.0597
22800,154.6495,58.2427
22900,158.4312,51.6781
23000,150.9223,53.3527
23100,153.1592,60.1654
23200,159.3823,60.8103
23300,164.3472,53.6412
23400,156.6947,54.1449
23500,160.2351,55.7337
23600,157.2090,60.2322
23700,158.0720,60.1308
23800,159.1654,54.9984
23900,165.8129,56.5568
24000,157.1884,52.9120
24100,161.8924,65.8320
24200,159.8289,55.7288
24300,154.9902,52.8802
24400,155.0576,58.4854
24500,156.8385,51.6049
24600,167.6985,62.7394
24700,158.8765,65.9469
24800,155.9999,58.6447
24900,165.0246,56.3122
25000,157.5620,67.6601
25100,150.0521,63.3843
25200,157.9468,57.5765
25300,156.6799,69.2441
25400,160.7008,54.7465
25500,158.1833,61.9479
25600,144.9161,53.4561
25700,155.9391,60.8229
25800,159.7160,52.7949
25900,167.8549,57.4101
26000,154.6779,63.1769
26100,164.4537,55.9019
26200,150.9475,60.1923
26300,150.2121,61.7907
26400,158.8440,58.7818
26500,161.9285,59.0805
26600,158.1558,53.9769
26700,154.5772,58.2902
26800,170.0859,63.1243
26900,153.4995,58.5023
27000,159.8393,57.5439
27100,168.2559,62.8767
27200,168.3002,57.5238
27300,164.9902,60.6697
27400,158.3448,57.7675
27500,158.1101,57.7539
27600,163.0309,59.6954
27700,169.0664,58.8750
27800,152.8939,61.0323
27900,153.3876,65.7514
28000,162.5536,62.0973
28100,159.3746,66.8273
28200,165.0451,59.8312
28300,154.2823,58.5137
28400,160.0736,59.1832
28500,175.3271,55.9722
28600,158.6541,51.7354
28700,156.6134,53.0475
28800,169.0755,54.9857
28900,160.1948,48.8905
29000,161.6034,53.9612
29100,163.6476,54.2669
29200,164.3574,53.9426
29300,165.4891,59.6085
29400,160.4247,52.1875
29500,151.9595,53.5915
29600,164.6231,61.7006
29700,148.1059,57.7564
29800,173.2896,55.4423
29900,163.8677,59.7592
